requests,data sent,average response time
2765,30415,0.00180706184553
3071,33781,0.00162575990981
1886,20746,0.00265121826564
3283,36113,0.00152282216656
3408,37488,0.00146769434913
2961,32571,0.00168918766149
2995,32945,0.0016686019993
2257,24827,0.00221610766467
2181,23991,0.00229108765387
2192,24112,0.0022851000302
2050,22550,0.00243718542704
2103,23133,0.00237684798592
2958,32538,0.00169480991492
2844,31284,0.00176036600993
2383,26213,0.00210619893236
2326,25586,0.00215892348941
1898,20878,0.00264452443359
1763,19393,0.00284256653832
1659,18249,0.00301103839104
2979,32769,0.00167492829381
3028,33308,0.00164945335023
2818,30998,0.00177154818522
1466,16126,0.00340910335192
2505,27555,0.00199401668922
4467,49137,0.00111354360758
3213,35343,0.00155467063958
1825,20075,0.0027386466771
1965,21615,0.00255394576463
1896,20856,0.0026401788122
1988,21868,0.00251754080985
2028,22308,0.00246854446814
2395,26345,0.00209182856725
2396,26356,0.00209039549199
2624,28864,0.00190611428967
1976,21736,0.00253281890139
1746,19206,0.00286137293021
2650,29150,0.00188330218477
3022,33242,0.00165278133693
1405,15455,0.00355847110952
1652,18172,0.00304231848613
2851,31361,0.00175211647861
1416,15576,0.00353089799989
2974,32714,0.00167850527735
2218,24398,0.00225170331565
1714,18854,0.00291621518107
2713,29843,0.00184265221787
2050,22550,0.00243791277816
2409,26499,0.00207527765549
2078,22858,0.00240472271766
1438,15818,0.00349196671445
2707,29777,0.00184543704388
2004,22044,0.00249314712669
2770,30470,0.00181589186837
2660,29260,0.00188067434426
2489,27379,0.00200783071292
2645,29095,0.00188716219594
1565,17215,0.00319103143467
1544,16984,0.00323899746559
1357,14927,0.00368426350345
1309,14399,0.00381894089777
1905,20955,0.00262890963417
2486,27346,0.00201063595371
2311,25421,0.0021688026146
3741,41151,0.0013324920585
2396,26356,0.00208547596939
2298,25278,0.00217247050778
1322,14542,0.00378229957125
2247,24717,0.00222356222872
2402,26422,0.00208014423504
1462,16082,0.00341874695346
1777,19547,0.00281554967014
1459,16049,0.00342719255857
1477,16247,0.00338187375905
2189,24079,0.00228249226165
1738,19118,0.00287322948662
1760,19360,0.00283939730037
2170,23870,0.00230235723856
2036,22396,0.00245190193705
2633,28963,0.00189666914659
2198,24178,0.0022726813916
1261,13871,0.00397151335188
1945,21395,0.00257652841681
1714,18854,0.00291638961334
2384,26224,0.00209980162998
2088,22968,0.00239275275976
1680,18480,0.00297304150604
1839,20229,0.00272063226269
1938,21318,0.00258125547777
1646,18106,0.00303461861639
1663,18293,0.00301235838963
2461,27071,0.00203112536744
1339,14729,0.00373537901892
1352,14872,0.00374810353539
1258,13838,0.00397929231768
1710,18810,0.0029194713336
1607,17677,0.00310967987787
8617,94787,0.000578842432023
1541,16951,0.00324259308698
1652,18172,0.00303359730192
2017,22187,0.0024773542634
1683,18513,0.00297021865845
2364,26004,0.00211143473482
2231,24541,0.0022390567364
1304,14344,0.00383531864435
1623,17853,0.00307937793649
1499,16489,0.0033334007734
1556,17116,0.00321318281953
1593,17523,0.00313631588756
1243,13673,0.00402835157737
1671,18381,0.00300666987718
1789,19679,0.00280293037666
1527,16797,0.00327236104339
1862,20482,0.00268320724864
1851,20361,0.00270611050965
1807,19877,0.00276636193322
1279,14069,0.00391176718115
1306,14366,0.00384040795278
1877,20647,0.00266203323958
2376,26136,0.00210124755949
1815,19965,0.00275898833577
1537,16907,0.00325291468559
1235,13585,0.0040492799118
1425,15675,0.0035081087079
